epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,372.437,1.91641,1.62992,1.45542,0.31589,0.43564,0.25456,0.12323,1.64946,1.40487,1.28148,0.000317,0.000317,0.000317
87,376.884,2.03776,1.76497,1.4193,0.31589,0.43564,0.25456,0.12323,1.64946,1.40487,1.28148,0.0002972,0.0002972,0.0002972
88,380.866,1.91403,1.77938,1.55601,0.31589,0.43564,0.25456,0.12323,1.64946,1.40487,1.28148,0.0002774,0.0002774,0.0002774
89,386.669,1.84712,1.57496,1.32272,0.31589,0.43564,0.25456,0.12323,1.64946,1.40487,1.28148,0.0002576,0.0002576,0.0002576
90,390.127,1.91624,1.40648,1.249,0.31589,0.43564,0.25456,0.12323,1.64946,1.40487,1.28148,0.0002378,0.0002378,0.0002378
91,393.025,2.00138,1.77561,1.25591,0.31589,0.43564,0.25456,0.12323,1.64946,1.40487,1.28148,0.000218,0.000218,0.000218
92,396.939,1.99962,2.25572,1.33768,0.31589,0.43564,0.25456,0.12323,1.64946,1.40487,1.28148,0.0001982,0.0001982,0.0001982
93,400.032,2.02385,2.35731,1.32849,0.31589,0.43564,0.25456,0.12323,1.64946,1.40487,1.28148,0.0001784,0.0001784,0.0001784
94,402.864,2.21972,1.98668,1.28165,0.31589,0.43564,0.25456,0.12323,1.64946,1.40487,1.28148,0.0001586,0.0001586,0.0001586
95,405.492,1.81779,1.5914,1.25246,0.31589,0.43564,0.25456,0.12323,1.64946,1.40487,1.28148,0.0001388,0.0001388,0.0001388
96,408.872,1.98554,2.29982,1.37127,0.31589,0.43564,0.25456,0.12323,1.64946,1.40487,1.28148,0.000119,0.000119,0.000119
97,411.811,2.25837,2.48707,1.30806,0.31589,0.43564,0.25456,0.12323,1.64946,1.40487,1.28148,9.92e-05,9.92e-05,9.92e-05
98,414.324,1.92651,1.6871,1.28593,0.31589,0.43564,0.25456,0.12323,1.64946,1.40487,1.28148,7.94e-05,7.94e-05,7.94e-05
99,418.028,1.8652,1.65892,1.36143,0.31589,0.43564,0.25456,0.12323,1.64946,1.40487,1.28148,5.96e-05,5.96e-05,5.96e-05
100,420.895,1.99005,2.02122,1.39013,0.31589,0.43564,0.25456,0.12323,1.64946,1.40487,1.28148,3.98e-05,3.98e-05,3.98e-05
